巨骨舌魚,10000,8000,15000,下午16點到隔天早上9點,,珠母蛤,2800,2240,全天,全年
神仙魚,3000,2400,4500,下午16點到隔天早上9點,,三疣梭子蟹,2200,1760,全天,6~11
珠星三塊魚,240,192,360,下午16點到隔天早上9點,,海膽,1700,1360,全天,5~9
塘鱧魚,400,320,600,下午16點到隔天早上9點,,貽貝,1500,1200,全天,6~12
擬鱷龜,5000,4000,7500,晚上21點到隔天凌晨4點,,海鞘,1500,1200,全天,4~8
恩氏多鰭魚,4000,3200,6000,晚上21點到隔天凌晨4點,,帆立貝,1200,960,全天,全年
食人魚,2500,2000,3750,"早上9點到下午16點
晚上21點到隔天凌晨4點",,章魚,1200,960,全天,全年
香魚(new),900,720,1350,全天,,峨螺,1000,800,全天,全年
吳郭魚,800,640,1200,全天,,海葡萄,900,720,全天,6~9
黑鱸魚,400,320,600,全天,,藤壺,600,480,全天,全年
鯽魚,160,128,240,全天,,海蛞蝓,600,480,全天,全年
,,,,,,海月水母,600,480,全天,7~9
大海,,,,,,裙帶菜,600,480,全天,1~7 10~12
蘇眉魚(new),10000,8000,15000,凌晨4點到晚上21點,,海葵,500,400,全天,全年
翻車魚(new),4000,3200,6000,凌晨4點到晚上21點,,海星,500,400,全天,全年
鳳尾魚,200,160,300,凌晨4點到晚上21點,,,,,,
鯊魚,15000,12000,22500,下午16點到隔天早上9點,,,,,,
鋸鯊,12000,9600,18000,下午16點到隔天早上9點,,,,,,
雙髻鯊,8000,6400,12000,下午16點到隔天早上9點,,,,,,
太平洋桶眼魚,15000,12000,22500,晚上21點到隔天凌晨4點,,,,,,
矛尾魚,15000,12000,22500,全天(雨天),,,,,,
鯨鯊,13000,10400,19500,全天,,,,,,
條石鯛,5000,4000,7500,全天,,,,,,
鯛魚,3000,2400,4500,全天,,,,,,
吸盤魚,1500,1200,2250,全天,,,,,,
海馬,1100,880,1650,全天,,,,,,
耳帶蝴蝶魚,1000,800,1500,全天,,,,,,
擬刺尾鯛,1000,800,1500,全天,,,,,,
比目魚,800,640,1200,全天,,,,,,
小丑魚,650,520,975,全天,,,,,,
五彩鰻,600,480,900,全天,,,,,,
獅子魚,500,400,750,全天,,,,,,
魷魚,500,400,750,全天,,,,,,
鱸魚,400,320,600,全天,,,,,,
刺河豚,250,200,375,全天,,,,,,
竹筴魚,150,120,225,全天,,,,,,
,,,,,,,,,,
池塘,,,,,,,,,,
鱧魚,5500,4400,8250,早上9點到下午16點,,,,,,
蘭壽金魚,4500,3600,6750,早上9點到下午16點,,,,,,
龍晴金魚,1300,1040,1950,早上9點到下午16點,,,,,,
雀鱔,6000,4800,9000,下午16點到隔天早上9點,,,,,,
錦鯉,4000,3200,6000,下午16點到隔天早上9點,,,,,,
鯰魚,800,640,1200,下午16點到隔天早上9點,,,,,,
金魚,1300,1040,1950,全天,,,,,,
鯉魚,300,240,450,全天,,,,,,
稻田魚,300,240,450,全天,,,,,,
淡水龍蝦,200,160,300,全天,,,,,,
青蛙,120,96,180,全天,,,,,,
蝌蚪,100,80,150,全天,,,,,,
,,,,,,,,,,
碼頭,,,,,,,,,,
旗魚,10000,8000,15000,全天,,,,,,
鬼頭刀,6000,4800,9000,全天,,,,,,
浪人鰺,4500,3600,6750,全天,,,,,,
